service,column,dtype
fhvhv,DOLocationID,bigint
fhvhv,PULocationID,bigint
fhvhv,access_a_ride_flag,string
fhvhv,airport_fee,double
fhvhv,base_passenger_fare,double
fhvhv,bcf,double
fhvhv,congestion_surcharge,double
fhvhv,dispatching_base_num,string
fhvhv,driver_pay,double
fhvhv,dropoff_datetime,timestamp_ntz
fhvhv,hvfhs_license_num,string
fhvhv,on_scene_datetime,timestamp_ntz
fhvhv,originating_base_num,string
fhvhv,pickup_datetime,timestamp_ntz
fhvhv,request_datetime,timestamp_ntz
fhvhv,sales_tax,double
fhvhv,shared_match_flag,string
fhvhv,shared_request_flag,string
fhvhv,tips,double
fhvhv,tolls,double
fhvhv,trip_miles,double
fhvhv,trip_time,bigint
fhvhv,wav_match_flag,string
fhvhv,wav_request_flag,string
green,DOLocationID,bigint
green,PULocationID,bigint
green,RatecodeID,double
green,VendorID,bigint
green,congestion_surcharge,double
green,ehail_fee,int
green,extra,double
green,fare_amount,double
green,improvement_surcharge,double
green,lpep_dropoff_datetime,timestamp_ntz
green,lpep_pickup_datetime,timestamp_ntz
green,mta_tax,double
green,passenger_count,double
green,payment_type,double
green,store_and_fwd_flag,string
green,tip_amount,double
green,tolls_amount,double
green,total_amount,double
green,trip_distance,double
green,trip_type,double
yellow,DOLocationID,bigint
yellow,PULocationID,bigint
yellow,RatecodeID,double
yellow,VendorID,bigint
yellow,airport_fee,double
yellow,congestion_surcharge,double
yellow,extra,double
yellow,fare_amount,double
yellow,improvement_surcharge,double
yellow,mta_tax,double
yellow,passenger_count,double
yellow,payment_type,bigint
yellow,store_and_fwd_flag,string
yellow,tip_amount,double
yellow,tolls_amount,double
yellow,total_amount,double
yellow,tpep_dropoff_datetime,timestamp_ntz
yellow,tpep_pickup_datetime,timestamp_ntz
yellow,trip_distance,double
