yyyymm,service,trips
2021-01,fhvhv,11908468
2021-01,green,76515
2021-01,yellow,1369753
2021-02,fhvhv,11613942
2021-02,green,64570
2021-02,yellow,1371689
2021-03,fhvhv,14227393
2021-03,green,83831
2021-03,yellow,1925130
2021-04,fhvhv,14111371
2021-04,green,86931
2021-04,yellow,2171215
2021-05,fhvhv,14719171
2021-05,green,88183
2021-05,yellow,2507075
2021-06,fhvhv,14961892
2021-06,green,86747
2021-06,yellow,2834204
2021-07,fhvhv,15027174
2021-07,green,83675
2021-07,yellow,2822113
2021-08,fhvhv,14499696
2021-08,green,83491
2021-08,yellow,2788300
2021-09,fhvhv,14886055
2021-09,green,95707
2021-09,yellow,2963778
2021-10,fhvhv,16545356
2021-10,green,110891
2021-10,yellow,3463485
2021-11,fhvhv,16041639
2021-11,green,108228
2021-11,yellow,3472897
2021-12,fhvhv,16054495
2021-12,green,99959
2021-12,yellow,3214319
2022-01,fhvhv,14751591
2022-01,green,62511
2022-01,yellow,2463936
2022-02,fhvhv,16019283
2022-02,green,69399
2022-02,yellow,2979429
2022-03,fhvhv,18453548
2022-03,green,78519
2022-03,yellow,3627891
2022-04,fhvhv,17752561
2022-04,green,76119
2022-04,yellow,3599902
2022-05,fhvhv,18157335
2022-05,green,76908
2022-05,yellow,3588292
2022-06,fhvhv,17780075
2022-06,green,73709
2022-06,yellow,3557692
2022-07,fhvhv,17464619
2022-07,green,64204
2022-07,yellow,3174363
2022-08,fhvhv,17185687
2022-08,green,65926
2022-08,yellow,3152694
2022-09,fhvhv,17793551
2022-09,green,69025
2022-09,yellow,3183784
2022-10,fhvhv,19306090
2022-10,green,69325
2022-10,yellow,3675384
2022-11,fhvhv,18085896
2022-11,green,62309
2022-11,yellow,3252670
2022-12,fhvhv,19665847
2022-12,green,72440
2022-12,yellow,3399585
2023-01,fhvhv,18479031
2023-01,green,68231
2023-01,yellow,3066731
2023-02,fhvhv,17960971
2023-02,green,64792
2023-02,yellow,2914003
2023-03,fhvhv,20413539
2023-03,green,72039
2023-03,yellow,3403660
2023-04,fhvhv,19144903
2023-04,green,65391
2023-04,yellow,3288249
2023-05,fhvhv,19847676
2023-05,green,69178
2023-05,yellow,3513664
2023-06,fhvhv,19366619
2023-06,green,65548
2023-06,yellow,3307259
2023-07,fhvhv,19132131
2023-07,green,61346
2023-07,yellow,2907093
2023-08,fhvhv,18322150
2023-08,green,60675
2023-08,yellow,2824201
2023-09,fhvhv,19851123
2023-09,green,65439
2023-09,yellow,2846741
2023-10,fhvhv,20186330
2023-10,green,66188
2023-10,yellow,3522269
2023-11,fhvhv,19269250
2023-11,green,64015
2023-11,yellow,3339731
2023-12,fhvhv,20516297
2023-12,green,64213
2023-12,yellow,3376537
2024-01,fhvhv,19663930
2024-01,green,56555
2024-01,yellow,2964623
2024-02,fhvhv,19359148
2024-02,green,53578
2024-02,yellow,3007533
2024-03,fhvhv,21280788
2024-03,green,57451
2024-03,yellow,3582611
2024-04,fhvhv,19733038
2024-04,green,56473
2024-04,yellow,3514295
2024-05,fhvhv,20704538
2024-05,green,61007
2024-05,yellow,3723843
2024-06,fhvhv,20123226
2024-06,green,54738
2024-06,yellow,3539170
2024-07,fhvhv,19182934
2024-07,green,51820
2024-07,yellow,3076876
2024-08,fhvhv,19128392
2024-08,green,51806
2024-08,yellow,2979192
2024-09,fhvhv,19209788
2024-09,green,54422
2024-09,yellow,3633025
2024-10,fhvhv,20028282
2024-10,green,56153
2024-10,yellow,3833780
2024-11,fhvhv,19987533
2024-11,green,52214
2024-11,yellow,3646372
2024-12,fhvhv,21068851
2024-12,green,53987
2024-12,yellow,3668371
2025-01,fhvhv,20405666
2025-01,green,48299
2025-01,yellow,3475236
2025-02,fhvhv,19339461
2025-02,green,46645
2025-02,yellow,3577543
2025-03,fhvhv,20536879
2025-03,green,51550
2025-03,yellow,4145231
2025-04,fhvhv,19753983
2025-04,green,52134
2025-04,yellow,3970568
2025-05,fhvhv,21091193
2025-05,green,55405
2025-05,yellow,4591844
2025-06,fhvhv,19868009
2025-06,green,49385
2025-06,yellow,4322949
2025-07,fhvhv,19653012
2025-07,green,48196
2025-07,yellow,3898956
